Tm;Total;Home;Away;Week 1;Week 2;Week 3;Week 4;Week 5;Week 6;Week 7;Week 8;Week 9;Week 10;Week 11;Week 12;Week 13;Week 14;Week 15;Week 16;Week 17
Arizona Cardinals;997,710;488,271;509,439;55,279;60,034;73,057;44,956;60,426;69,732;61,200;60,671;Bye;60,845;59,862;60,882;69,144;60,643;69,143;68,266;63,570
Atlanta Falcons;1,080,805;561,795;519,010;72,348;70,056;70,660;70,744;70,246;Bye;69,522;60,671;73,720;70,309;55,360;70,422;38,969;77,550;70,069;69,732;70,427
Baltimore Ravens;1,106,022;569,084;536,938;76,977;71,098;71,168;68,296;68,342;71,319;62,295;Bye;71,513;70,992;62,367;71,148;71,005;70,921;64,742;71,433;62,406
Buffalo Bills;1,032,476;502,842;529,634;69,519;67,819;76,957;68,296;71,239;67,739;60,592;72,405;68,159;60,406;68,036;Bye;38,969;59,194;60,085;54,305;68,756
Carolina Panthers;1,112,229;587,544;524,685;73,294;67,819;73,748;Bye;60,426;63,963;72,686;59,073;73,720;69,732;74,225;60,156;72,795;73,089;73,251;73,825;70,427
Chicago Bears;1,057,075;498,864;558,211;62,213;62,181;61,575;64,552;62,361;62,374;83,147;Bye;78,122;62,431;62,367;66,024;64,134;62,229;71,513;69,144;62,708
Cincinnati Bengals;1,001,806;506,377;495,429;62,213;64,585;64,633;71,481;64,259;67,739;63,207;62,576;52,388;70,992;63,856;Bye;61,536;62,507;45,873;61,555;62,406
Cleveland Browns;1,122,750;569,939;552,811;71,513;71,098;63,672;71,481;71,239;71,513;77,804;74,307;71,513;Bye;63,856;71,513;69,654;68,756;71,513;76,957;56,361
Dallas Cowboys;1,279,578;704,345;575,233;85,348;76,952;80,848;68,601;92,758;90,239;69,144;64,379;85,360;73,018;Bye;80,499;87,572;62,229;91,054;80,411;91,166
Denver Broncos;1,194,145;614,977;579,168;76,977;81,285;76,978;77,002;92,758;76,862;67,196;77,031;Bye;68,847;77,076;68,756;77,065;76,554;76,497;71,761;51,500
Detroit Lions;1,053,841;510,369;543,472;62,461;60,034;80,111;64,552;78,200;71,513;63,207;64,379;Bye;62,431;57,905;62,098;64,934;69,144;64,742;63,996;64,134
Green Bay Packers;1,191,205;623,577;567,628;69,732;78,020;64,633;Bye;78,200;71,319;77,804;64,134;78,122;78,011;79,114;77,871;64,934;77,550;91,054;77,999;62,708
