"";"game_id";"Attendance"
"1";"2011_18_ATL_NYG";79909
"2";"2011_18_CIN_HOU";71725
"3";"2011_18_DET_NO";73038
"4";"2011_18_PIT_DEN";75970
"5";"2011_19_DEN_NE";68756
"6";"2011_19_HOU_BAL";71547
"7";"2011_19_NO_SF";69732
"8";"2011_19_NYG_GB";72080
"9";"2011_20_BAL_NE";68756
"10";"2011_20_NYG_SF";69732
"11";"2011_21_NYG_NE";68658
"12";"2012_18_CIN_HOU";71783
"13";"2012_18_IND_BAL";71379
"14";"2012_18_MIN_GB";71548
"15";"2012_18_SEA_WAS";84325
"16";"2012_19_BAL_DEN";76732
"17";"2012_19_GB_SF";69732
"18";"2012_19_HOU_NE";68756
"19";"2012_19_SEA_ATL";70863
"20";"2012_20_BAL_NE";68756
"21";"2012_20_SF_ATL";70863
"22";"2012_21_BAL_SF";71024
"23";"2013_18_KC_IND";63551
"24";"2013_18_NO_PHI";69144
"25";"2013_18_SD_CIN";62277
"26";"2013_18_SF_GB";77525
"27";"2013_19_IND_NE";68576
"28";"2013_19_NO_SEA";68388
"29";"2013_19_SD_DEN";76969
"30";"2013_19_SF_CAR";73784
"31";"2013_20_NE_DEN";77110
"32";"2013_20_SF_SEA";68454
"33";"2013_21_SEA_DEN";83539
"34";"2014_18_ARI_CAR";71849
"35";"2014_18_BAL_PIT";62780
"36";"2014_18_CIN_IND";63384
"37";"2014_18_DET_DAL";91414
"38";"2014_19_BAL_NE";68756
"39";"2014_19_CAR_SEA";68524
"40";"2014_19_DAL_GB";79704
"41";"2014_19_IND_DEN";76867
"42";"2014_20_GB_SEA";68538
"43";"2014_20_IND_NE";68756
"44";"2014_21_NE_SEA";70286
"45";"2015_18_GB_WAS";81367
"46";"2015_18_KC_HOU";71800
"47";"2015_18_PIT_CIN";63257
"48";"2015_18_SEA_MIN";52090
"49";"2015_19_GB_ARI";65089
"50";"2015_19_KC_NE";66829
"51";"2015_19_PIT_DEN";76956
"52";"2015_19_SEA_CAR";74287
"53";"2015_20_ARI_CAR";74294
"54";"2015_20_NE_DEN";77112
"55";"2015_21_CAR_DEN";71958
"56";"2016_18_DET_SEA";68788
"57";"2016_18_MIA_PIT";61726
"58";"2016_18_NYG_GB";77549
"59";"2016_18_OAK_HOU";71790
"60";"2016_19_GB_DAL";93396
"61";"2016_19_HOU_NE";68829
"62";"2016_19_PIT_KC";75678
"63";"2016_19_SEA_ATL";71155
"64";"2016_20_GB_ATL";71127
"65";"2016_20_PIT_NE";66829
"66";"2016_21_NE_ATL";70807
"67";"2017_18_ATL_LA";74300
"68";"2017_18_BUF_JAX";69442
"69";"2017_18_CAR_NO";73186
"70";"2017_18_TEN_KC";73319
"71";"2017_19_ATL_PHI";69596
"72";"2017_19_JAX_PIT";64524
"73";"2017_19_NO_MIN";66619
"74";"2017_19_TEN_NE";65878
"75";"2017_20_JAX_NE";65878
"76";"2017_20_MIN_PHI";69596
"77";"2017_21_PHI_NE";67612
"78";"2018_18_IND_HOU";71798
"79";"2018_18_LAC_BAL";70432
"80";"2018_18_PHI_CHI";62462
"81";"2018_18_SEA_DAL";94327
"82";"2018_19_DAL_LA";77187
"83";"2018_19_IND_KC";76765
"84";"2018_19_LAC_NE";65878
"85";"2018_19_PHI_NO";73027
"86";"2018_20_LA_NO";73028
"87";"2018_20_NE_KC";77034
"88";"2018_21_NE_LA";70081
"89";"2019_18_BUF_HOU";71699
"90";"2019_18_MIN_NO";73038
"91";"2019_18_SEA_PHI";69796
"92";"2019_18_TEN_NE";65878
"93";"2019_19_HOU_KC";73503
"94";"2019_19_MIN_SF";71649
"95";"2019_19_SEA_GB";78998
"96";"2019_19_TEN_BAL";71254
"97";"2019_20_GB_SF";72211
"98";"2019_20_TEN_KC";73353
"99";"2019_21_SF_KC";62417
"100";"2020_18_BAL_TEN";14029
"101";"2020_18_CHI_NO";3000
"102";"2020_18_CLE_PIT";0
"103";"2020_18_IND_BUF";6772
"104";"2020_18_LA_SEA";0
"105";"2020_18_TB_WAS";0
"106";"2020_19_BAL_BUF";6772
"107";"2020_19_CLE_KC";16730
"108";"2020_19_LA_GB";7439
"109";"2020_19_TB_NO";3750
"110";"2020_20_BUF_KC";16993
"111";"2020_20_TB_GB";7772
"112";"2020_21_KC_TB";24835
